,index,record_name,record_name_2,ref_code,ref_name,ref_unit
0,0,DIN -рейка оцинкованная ТН35-7.5 100 см (Chint),"DIN-рейка 35х7,5 мм длиной 1000 мм",27.33.13.130.20.2.08.01-0001-000,"DIN-рейки металлические, оцинкованные, размеры 7,5х35х260 мм",100 шт
1,1,Анкерный элемент ТехноНиколь 8*45мм,Анкерный элемент TN 8x4.5,25.94.11.190.01.7.15.01-1169-000,"Анкер грунтовый забивной самораскрывающийся, оцинкованный, предельная несущая нагрузка не менее 45 кН",шт
2,2,Анкер забивной М10 DRM 12x40 сталь,Анкер втулочный M10,25.94.11.190.01.7.15.01-0037-000,"Анкер забивной латунный, диаметр внутренней резьбы М10, диаметр 12 мм, длина 40 мм",шт
3,3,Анкер забивной М10/12x40,Анкер втулочный M10,25.94.11.190.01.7.15.01-0037-000,"Анкер забивной латунный, диаметр внутренней резьбы М10, диаметр 12 мм, длина 40 мм",шт
4,4,Анкер забивной М8 LAZ латунь,Анкер втулочный M8,25.94.11.190.01.7.15.01-0036-000,"Анкер забивной латунный, диаметр внутренней резьбы М8, диаметр 10 мм, длина 28-30 мм",шт
5,5,Анкер забивной М10,Анкер втулочный M10,25.94.11.01.7.15.01-0037,Анкер забивной М10,шт.
6,6,Анкер забивной М8,Анкер втулочный M8,25.94.11.01.7.15.01-0036,Анкер забивной М8,шт.
7,7,"Анкерный стержень 15,0мм без покрытия 1,00м","Винт стяжной L=1,0 метр",25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
8,8,"Анкерный стержень 15,0мм без покрытия, неоцинкованный 2,00м","Винт стяжной L=2,0 метр",25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
9,9,"Анкерный стержень 15,0мм без покрытия, неоцинкованный 3,00м","Анкерный стержень 15,0мм без покрытия, неоцинкованный 3,00м ООО """"Регион-Монтаж""""",25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
10,10,Шпилька М8х1000 (DIN975) оцинкованная (поштучно),Шпилька М8,25.94.11.190.01.7.15.01-0043-000,"Анкер трубчатый стальной оцинкованный для слабых грунтов с винтовым наконечником, диаметр 76 мм, толщина стенки 3,5-5 мм, длина 1000 мм",шт
